Security Code,Security Id,Security Name,Group,Face Value,ISIN No,Industry
502901,JAMSHRI,Jamshri Realty Ltd-$,X ,1000,INE462D01026,Textiles
502933,KATRSPG,KATARE SPINNING MILLS LTD.,X ,10,INE498G01015,Textiles
502937,KESORAMIND,KESORAM INDUSTRIES LTD.,B ,10,INE087A01019,Diversified
502958,LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$,X ,100,INE938C01019,Textiles
502986,VTL,VARDHMAN TEXTILES LTD.,A ,10,INE825A01012,Textiles
503015,MODERN,MODERN INDIA LTD.-$,X ,2,INE251D01023,Comm.Trading  & Distribution
503031,PENINLAND,PENINSULA LAND LTD.,B ,2,INE138A01028,Realty
503100,PHOENIXLTD,The Phoenix Mills Ltd,A ,2,INE211B01039,Realty
503101,MARATHON,MARATHON NEXTGEN REALTY LTD.,B ,5,INE182D01020,Realty
503127,RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.,XT,100,INE491N01016,Diversified
503162,RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$,X ,10,INE750D01016,Textiles
503169,RUBYMILLS,RUBY MILLS LTD.,B ,5,INE301D01026,Textiles
503229,SIMPLXREA,SIMPLEX REALTY LTD.,X ,10,INE167H01014,Realty
503310,SWANENERGY,SWAN ENERGY LTD.,A ,1,INE665A01038,Textiles
503349,VICTMILL,VICTORIA MILLS LTD.,X ,100,INE203D01016,Textiles
503622,ZSVTRADI,S.V.TRADING & AGENCIES LTD.,XT,10,INE404N01019,Other Financial Services
503624,ZSVARAJT,SVARAJ TRADING & AGENCIES LTD.,XT,10,INE406N01014,Other Financial Services
503635,SALSAIN,SHREE SALASAR INVESTMENT LTD.,XT,10,INE315N01017,Other Financial Services
503639,INDSOYA,INDSOYA LTD.,P ,10,INE314N01010,Diversified Commercial Services
503641,ZODIACVEN,Zodiac Ventures Limited,XT,1,INE945J01027,Consulting Services
503657,VEERENRGY,VEER ENERGY & INFRASTRUCTURE LTD.,X ,10,INE255E01030,Electric Utilities
503659,SW1,SW Investments Ltd,XT,10,INE948K01011,Diversified Commercial Services
503663,TILAK,Tilak Ventures Ltd,XT,1,INE026L01022,Investment Companies
503669,KKFIN,K K Fincorp Limited,X ,10,INE509J01013,Diversified Commercial Services
503671,UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.,XT,10,INE130N01010,Other Financial Services
503675,WAGEND,Wagend Infra Venture Limited,X ,2,INE786K01023,Diversified Commercial Services
503681,ELCIDIN,ELCID INVESTMENTS LTD.,XT,10,INE927X01018,Diversified Commercial Services
503689,HEALINV,HEALTHY INVESTMENTS LTD.,XT,10,INE160N01017,Diversified Commercial Services
503691,SAHARA,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,X ,10,INE479B01016,Broadcasting & Cable TV
503696,SHRENTI,SHREENATH INVESTMENTS CO.LTD.,XT,10,INE475V01012,Diversified Commercial Services
503722,BANSWRAS,BANSWARA SYNTEX LTD.-$,B ,10,INE629D01012,Textiles
